"","speaker","words","episode"
"1","","OPEN IN STARS HOLLOW","raw/s01e01.txt"
"2","","[Lorelai walks down the sidewalk. She passes a sign that says ""Stars Hollow Founded 1779"" and crosses the street. She goes into Luke's Diner. Inside, she takes off her coat and picks up an empty mug from a table, then walks up to the counter]","raw/s01e01.txt"
"3","LORELAI"," Please, Luke. Please, please, please.","raw/s01e01.txt"
"4","LUKE"," How many cups have you had this morning?","raw/s01e01.txt"
"5","LORELAI"," None.","raw/s01e01.txt"
"6","LUKE"," Plus...","raw/s01e01.txt"
"7","LORELAI"," Five, but yours is better.","raw/s01e01.txt"
"8","LUKE"," You have a problem.","raw/s01e01.txt"
"9","LORELAI"," Yes, I do.","raw/s01e01.txt"
"10","","[Luke fills her cup]","raw/s01e01.txt"
"11","LUKE"," Junkie.","raw/s01e01.txt"
"12","LORELAI"," Angel. You've got wings, baby.","raw/s01e01.txt"
"13","","[The phone rings as Lorelai goes back to her table. Luke answers it.]","raw/s01e01.txt"
"14","LUKE"," Luke's. [pause] Yeah.","raw/s01e01.txt"
"15","","[A young guy seated at the counter turns and watches Lorelai sip her coffee, then gets up and approaches her.]","raw/s01e01.txt"
"16","JOEY"," You make that look really good.","raw/s01e01.txt"
"17","LORELAI"," Oh, it is really good. It's the best coffee in town.","raw/s01e01.txt"
"18","JOEY"," Oh yeah? I'll have to get a cup.","raw/s01e01.txt"
"19","LORELAI"," Good plan.","raw/s01e01.txt"
"20","JOEY"," Yeah, I've never been here before. Just, uh, passing through on my way to Hartford.","raw/s01e01.txt"
"21","LORELAI"," You're a regular Jack Kerouac.","raw/s01e01.txt"
"22","JOEY"," Yeah.","raw/s01e01.txt"
"23","LORELAI"," Yeah.","raw/s01e01.txt"
"24","JOEY"," Hey, you mind if I sit down?","raw/s01e01.txt"
"25","LORELAI"," Oh, you know what? Actually, I'm meeting someone so I. . .","raw/s01e01.txt"
"26","","[Joey sits down at her table]","raw/s01e01.txt"
"27","JOEY"," I'm Joey.","raw/s01e01.txt"
"28","LORELAI"," Okay.","raw/s01e01.txt"
"29","JOEY"," What, you don't have a name?","raw/s01e01.txt"
"30","LORELAI"," No, I do have a name. I just, I'm really meeting someone, so. . .","raw/s01e01.txt"
"31","JOEY"," So I guess I should get going.","raw/s01e01.txt"
